1/31/14:

monicaprichard nightmaremoon 
alexshafran discord
derekbrameyer pinkypie
bijalpatel rarity
mikewilkerson clipclop
mattyohe princesscelestia 
greggcarrier pinkypie 
mikemoore pinkypie
jossayjacobo rainbowdash
jeffkusi pinkypie
jeffpamer twilightsparkle
robcook pinkypie
michaelprichard cheesesandwich
kevinsnead discord
blakesirach twilightsparkle
mattdawson rainbowdash

2/7/14:

greggcarrier gonzo
michaelmoore fozzy
trungtran crazyeddie
mattyohe gonzo
michaelprichard gonzo
kevinsnead gonzo
